"Actions","Actions"
Are you sure?,Bạn có chắc không?
Date Added,Ngày đã được thêm
Error while marking as read. Please try again later.,Lỗi khi đang đánh dấu đã đọc. Vui lòng thử lại sau.
Error while marking. Please try again later.,Lỗi khi đang đánh dấu. Vui lòng thử lại sau.
Error while removing. Please try again later.,Lỗi khi đang xóa. Vui lòng thử lại sau.
Last update,Lần cập nhật cuối
"Mark as Read","Đánh dấu đã đọc"
"Mark as read","Đánh dấu đã đọc"
Message,Tin nhắn
Message was successfully marked as read,Tin nhắn đã được đánh dấu đã đọc
Message was successfully removed,Tin nhắn đã được xoá
Messages Inbox,Hộp thư đến
Notifications,Các thông báo
Please select messages,Vui lòng lựa chọn thư
Read Details,Xem chi tiết
Remove,Xoá
"Severity","Severity"
Show List,Xem danh sách
Show Toolbar,Xem thanh công cụ
Total of %d record(s) were successfully marked as read,Tổng số %d bản ghi đã đánh đã đã đọc
Total of %d record(s) were successfully removed,Tổng số %d bản ghi đã được xoá
"Unable to proceed. Please, try again",Không thể thực hiện. Vui lòng thử lại
Update frequency,Tần xuất cập nhật
Use HTTPS to get feed,Sử dụng HTTPS để lấy feed
"critical","quan trọng"
"major","đa số"
"minor","thiểu số"
notice,ghi chú
