 The customer doesn\'t exist in the system anymore,Khách hàng không còn tồn tại trong hệ thống
 and ,và
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolute path or Relative to Wannabe install root, ex. var/export)"
(For US 2-letter state names),(For US 2-letter state names)
(If left empty will be auto-generated),(If left empty will be auto-generated)
(Leave empty for first spreadsheet),(Leave empty for first spreadsheet)
(Products will be added/updated to this store if 'store' column is blank or missing in the import file.),(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)
(Shift-)Click or drag to change value,(Shift-)Click hoặc kéo để thay đổi giá trị
(Starting with),(Bắt đầu với)
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
(You have to increase php memory_limit before changing this value),(Bạn phải tăng php memory_limit trước khi thay đổi giá trị này)
(\\t for tab),(\\t for tab)
"* - If indexing is in progress, it will be killed and new indexing process will start","* - If indexing is in progress, it will be killed and new indexing process will start"
#NAME?,#NAME?
#NAME?,#NAME?
- Use the %s buttons to select month,- Sử dụng phím %s để chọn tháng
"- Use the %s, %s buttons to select year","- Sử dụng phím %s, %s để chọn năm"
#NAME?,#NAME?
#NAME?,#NAME?
-- Please Select --,-- Hãy chọn --
-- Please select --,-- Hãy chọn --
-- Please select a category --,-- Hãy chọn một danh mục --
--Please Select--,--Hãy chọn--
1 Hour,1 Giờ
12 Hours,12 Giờ
2 Hours,2 Giờ
24 Hours,24 Giờ
2YTD,2YTD
6 Hours,6 Giờ
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Không tìm thấy trang này.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Từ chối truy cập</h1><p>Từ chối truy cập.</p>"
A new password was sent to your email address. Please check your email and click Back to Login.,Mật khẩu mới đã được gửi vào địa chỉ email của bạn. Vui lòng kiểm tra email và nhấn Back để đăng nhập.
API Stability,API Stability
API Version,Phiên bản API
API:,API:
About the calendar,Về lịch
Access Denied.,Truy cập bị từ chối.
Access Deny,Từ chối truy cập
Account Created in:,Tài khoản đã được khởi tạo vào:
Account Created on (%s):,Tài khoản đã được khởi tạo vào lúc(%s):
Account Created on:,Tài khoản đã được khởi tạo vào:
Account Information,Thông tin tài khoản
Account status,Trạng thái tài khoản
Account successfully saved,Tài khoản đã được lưu lại thành công
Action,Hoạt động
Actions,Các hoạt động
Actions XML,Các hoạt động XML
Active,Kích hoạt
Add,Thêm
Add Contents Path,Thêm đường dẫn nội dung
Add Exception,Thêm loại trừ
Add Field Mapping,Add Field Mapping
Add Field with URL:,Thêm trường kèm URL:
Add Maintainer,Add Maintainer
Add New Image,Thêm ảnh mới
Add New Profile,Thêm profile mới
Add New Role,Thêm role mới
Add New Template,Thêm template mới
Add New Urlrewrite,Thêm Urlrewrite mới
Add New User,Thêm người dùng mới
Add New osCommerce Profile,Thêm osCommerce Profile mới
Add PHP Extension dependency,Add PHP Extension dependency
Add Package dependency,Add Package dependency
Add Subpackage dependency,Add Subpackage dependency
Add Urlrewrite,Thêm Urlrewrite
Add Urlrewrite for a Category,Thêm Urlrewrite cho Danh mục
Add Urlrewrite for a Product,Thêm Urlrewrite cho một sản phẩm
Add after,Thêm sau
Add new Role,Thêm Role mới
Address Type:,Loại địa chỉ:
Admin,Admin
Advanced Admin Section,Khu vực Admin nâng
Advanced Profiles,Profiles nâng cao
Advanced Section,Khu vực nâng cao
Aggregate Order,Aggregate Order
All,Tất cả
All Allowed Countries,Tất cả các quốc gia cho phép
All Cache,Tất cả Cache
All Files,Tất cả Files
All Store Views,Tất cả Store Views
All Tags,Tất cả Tags
All Websites,Tất cả các trang web
All countries,Tất cả các nước
All fields,Tất cả các trường
"All possible rates were fetched, click on ""Save"" to apply","Tất cả tỉ số khả thi đã được thu thập, click vào ""Lưu"" để áp dụng"
"All rates were fetched, click on ""Save"" to apply","Tất cả tỉ số đã được thu thập, click vào ""Lưu"" để áp dụng"
All valid rates successfully saved,Tất cả tỉ số phù hợp đã được lưu thành công
Amounts,Số lượng
Any,Bất kỳ
Any Attribute Set,Attribute Set bất kỳ
Any Group,Nhóm bất kỳ
Any Status,Trạng thái bất kỳ
Any Store,Store bất kỳ
Any Type,Loại bất kỳ
Any Visibility,Dạng hiển thị bất kỳ
Api Key,Api Key
Api Key Confirmation,Xác nhận Api Key
Archive file name:,Archive file name:
Are you sure that you want to delete this template?,Bạn có chắc chắn xóa template này không?
Are you sure that you want to strip tags?,Bạn có chắc chắn bỏ những tag này?
Are you sure you want to do this?,Bạn có chắc chắn làm việc này?
Are you sure you wish to INSTALL all selected packages?,Bạn có chắc chắn muốn cài đặt những gói đã được chọn này?
Are you sure you wish to UNINSTALL all selected packages?,Bạn có chắc chắn muốn gỡ cài đặt những gói đã được chọn này?
Are you sure you wish to UPGRADE all selected packages?,Bạn có chắc chắn muốn cập nhật những gói đã được chọn này?
Area,Vùng
Assigned,Được gán
Attribute Set Name:,Tên Attribute Set:
