"Bank Prepayment","Thanh toán trước"
"Pay within X days","Thanh toán trong vòng X ngày"
"Please transfer the money within %s days to the following bank account","Vui lòng thanh toán trong vòng %s ngày vào tài khoản ngân hàng sau"
"Please transfer the money to the following bank account","Vui lòng chuyển tiền vào tài khoản ngân hàng sau"
"Account holder","Chủ tài khoản"
"Account number1","Số tài khoản"
"Sort code","Mã thứ tự (sort code)"
"Bank name","Tên ngân hàng"
"For international transfers please use also following data","Với chuyển khoản quốc tế, vui lòng sử dụng thông tin như sau"
"IBAN","IBAN"
"BIC","BIC"
"Account info","Thông tin tài khoản"
"International","Quốc tế"
"Custom text","Custom text"
