"Instant transactions","Giao dịch trực tiếp"
"Online payment methods","Các phương thức thanh toán trực tuyến"
"Online payment with Bao Kim","Thanh toán trực tuyến Bảo Kim"
"Order List Payment BaoKim","Đơn hàng thanh toán bằng Bảo Kim"
"OTP transaction verified","Giao dịch đã xác minh OTP"
"Payment is the bank's partners Bao Kim","Thanh toán với các ngân hàng đối tác của Bảo Kim"
"Trading custody (secure payment)","Giao dịch bị tạm giữ (thanh toán an toàn)"
"Trading freezes","Giao dịch bị đóng băng"
"Trading was canceled when not verify OTP","Giao dịch bị hủy khi chưa xác minh OTP"
"Transaction canceled","Giao dịch bị hủy"
"Transactions completed","Giao dịch hoàn thành"
"Transaction denied receiving money","giao dịch bị từ chối nhận tiền"
"Transaction did not verify OTP","Giao dịch chưa xác minh OTP"
"Transaction expires","Giao dịch hết hạn"
"Transaction failure","Giao dịch thất bại"
"Transaction Other","Các trạng thái giao dịch khác"
"Transaction wrong amount","Giao dịch không đúng số tiền đơn hàng"
