
"3D Secure Authentication failed","Giao dịch không qua được bước xác thực 3D-Secure"
"<a href=""%s"" target=""_blank"">Payment back.</a>","<a href=""%s"" target=""_blank"">Thanh toán lại.</a>"
"Bank declined transaction","Ngân hàng từ chối giao dịch"
"Bank declined transaction (Do not contact Bank)","Không kết nối được với ngân hàng phát hành."
"Bank system reject","Ngân hàng phát hành không cấp phép."
"Card expiration / card locked","Thẻ hết hạn/Thẻ bị khóa"
"Card holder name wrong","Tên chủ thẻ không đúng"
"Card number is incorrect","Số thẻ không đúng"
"Card Security Code Failed","Thông tin CSC không đúng, khách nhập sai"
"Card Security Code verification failed","Xác thực CSC bị lỗi."
"Card is not registered to use the service","Thẻ chưa đăng ký sử dụng dịch vụ"
"Click here to <a href=""%s"">Payment back</a>","Nhấn <a href=""%s"" style=""font-weight:bold; text-decoration: underline;"">vào đây để thanh toán lại</a>"
"Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation.","Nhấn <a href=""%s"" target=""_blank"">vào đây để In</a> thông tin đơn hàng của bạn"
"Currency code does not exist","Mã tiền tệ không tồn tại"
"Date issued / expired variance","Ngày phát hành/Hết hạn không đúng"
"Error Communicating with Bank","Lỗi hệ thống từ ngân hàng phát hành"
"Exceed the payment limits","Vượt quá hạn mức thanh toán"
"Expired Card","Thẻ hết hạn sử dụng"
"Fraud Risk Blocked","Không xác thực được 3D Secure."
"Incorrect access code","Không đúng access code"
"Insufficient funds","Không đủ tiền thanh toán"
"Make your payment by Visa, Master card <font color=""red"">%s</font>","Thanh toán của bạn thực hiện qua Visa, Master card <font style=""color: red; font-weight:bold;"">%s</font>"
"No Reply from Bank","Cổng thanh toán không nhận được kết quả trả về từ Ngân hàng phát hành."
"Pay back","Thanh toán lại"
"Payment Order #<a href=""%s"">%s</a>","Thanh toán đơn hàng #<a href=""%s"">%s</a>"
"Payment Server System Error","Lỗi hệ thống khi xin cấp phép giao dịch"
"Please %s or call the wannabe Care %s to receive our support","Vui lòng %s hoặc gọi đến Wannabe Care %s để nhận được sự hỗ trợ của chúng tôi"
"successful","thành công"
"Successful transactions","Giao dịch thành công"
"Thanks","Cảm ơn"
"The amount is invalid","Số tiền không hợp lệ"
"The money is not enough to pay","Số tiền không đủ để thanh toán"
"The user canceled the transaction","Người sử dụng hủy giao dịch"
"Transaction failed","Giao dịch thất bại"
"Transaction Type Not Supported","Ngân hàng phát hành không hỗ trợ giao dịch Internet"
"Unknown error","Lỗi không xác định"
"Unit code does not exist","Mã đơn vị không tồn tại"
"unsuccessful","không thành công"
"Waiting for payment","Đợi thanh toán"
