"Points",""
"Point",""
"Approved","Đã chấp nhận"
"Pending: Event","Đang chờ xét"
"Pending: Approval","Chờ chấp nhận"
"Not enough points for transaction. You have %s, but you need %s","Không đủ điểm để giao dịch. Bạn đang có %s, nhưng bạn cần dùng %s"
"Sent points to a friend, ","Sent points to a friend, "
"Received points from a friend, ","Received points from a friend, "
"Not enough points for transaction. You have %s, but you need %s.","Không đủ điểm để giao dịch. Bạn đang có %s, nhưng bạn cần dùng %s."
"You received %s for signing up!","You received %s for signing up!"
"Could not transfer points.","Could not transfer points."
"You received %s for signing up to a newsletter","You received %s for signing up to a newsletter"
"Could not interface with customer rewards system.","Could not interface with customer rewards system."
"You received %s for voting","You received %s for voting"
"Please log in, or sign up to apply point redemptions!","Xin vui lòng đăng nhập, hoặc đăng ký để sử dụng Wannabe Xu để được giảm giá!"
"Unable to load the redeem points hash","Unable to load the redeem points hash"
"You will receive %s upon approval of this review","Bạn sẽ được tặng %s sau khi được phê duyệt bài nhận xét này"
"You received %s for sending your friend this product","You received %s for sending your friend this product"
"No points","0 Wannabe Xu"
"No Points","0 Wannabe Xu"
"You will receive %s upon approval of this tag.","You will receive %s upon approval of this tag."
"Click to see a breakdown of how your points affect this line item.","Click to see a breakdown of how your points affect this line item."
"Points Spent","Đã thu Wannabe Xu"
"off","giảm"
"No points.","Không Wannabe Xu."
"Points Earned","Đã tặng Wannabe Xu"
"as low as","thấp"
"with","với"
"Redeem Your Points","Thu lại Wannabe Xu của bạn"
"Send Points to a Friend","Gửi tặng Wannabe Xu cho bạn bè"
"Transfer Manager","Quản lý chuyển giao"
"Currency Manager","Quản lý tiền tệ"
"Add Currency","Thêm tiền tệ"
"Special Points Rules","Các luật đặc biệt"
"Add New Special Rule","Thêm mới luật đặc biệt"
"Spends X Points","Dành X Wannabe Xu"
"Spends X points for every Y dollar amount in price","Dành X Wannabe Xu cho mỗi số tiền Y từ giá"
"[WARN:ALPHA] For every X points spent, discount Y from price","[WARN:ALPHA] Với dùng mỗi Wannabe Xu X, giảm giá Y từ giá"
"--Don\'t Transfer Points--","--không chuyển giao Wannabe Xu--"
"Give X points to customer","Tặng X Wannabe Xu cho khách hàng"
"For every Y dollar amount in price, give X points","Đối với mỗi số tiền Y trong giá, tặng Wannabe Xu X"
"Deduct X points from customer","Trích X Wannabe Xu của khách hàng"
"For every Y amount spent, deduct X points","Đối với mỗi số tiền Y chi, trích X Wannabe Xu"
"An error occured trying to apply the redemption while adding the product to your cart: ","Đã xảy ra lỗi cố gắng để áp dụng mua lại trong khi thêm các sản phẩm vào giỏ hàng của bạn: "
"For every Z qty purchased, deduct X points","Đối với mỗi mua Z số lượng, trừ X Wannabe Xu"
" For every X points spent, discount Y from price"," Với mỗi Wannabe Xu X chi, giảm giá Y từ giá"
"For every Y amount spent, give X points","Đối với mỗi số tiền dành Y, tặng X Wannabe Xu"
"For every Z qty purchased, give X points","Đối với mỗi mua Z số lượng, tặng X Wannabe Xu"
"Writes review","Viết nhận xét"
"Rates a product","Đánh giá sản phẩm"
"Signs up","Tạo tài khoản"
"Votes in poll","Phiếu thăm dò ý kiến"
"Sends product to friend","Gửi sản phẩm cho bạn bè"
"Signs up for a newsletter","Đăng ký nhận newsletter"
"Makes a new tag","Tạo mới 1 tag (nhãn)"
"Points Distribution","Tặng Wannabe Xu"
"Points Redeemed on Order","Thu lại Wannabe Xu trên đơn hàng"
"System Adjustment","Điểu chỉnh hệ thống"
"Points Received From a Friend","Nhận Wannabe Xu từ bạn bè"
"Points Given To a Friend","Tặng Wannabe Xu đến bạn bè"
"Points Revoked","Wannabe Xu bị thu hồi"
"Administrative Adjustment","Điều chỉnh hành chính"
"WARNING: UNSPECIFIED REASON","Chú ý: KHÔNG XÁC ĐỊNH LÝ DO"
"Poll",Thăm dò ý kiến
"Rating",Đánh giá
"Transfer",Chuyển giao
"Signup",Đăng ký tài khoản
"To Friend","Đến bạn bè"
"From Friend","Từ bạn bè"
"A valid redemption id to apply to this cart was not selected.","A valid redemption id to apply to this cart was not selected."
"The rule ","Các luật "
"You do have have enough %s Points.","Bạn chỉ có %s."
"The rule entitled ","Các luật "
"All requested reward redemptions were applied to your cart","All requested reward redemptions were applied to your cart"
"An error occured while trying to apply the redemption to your cart.","An error occured while trying to apply the redemption to your cart."
"All requested reward redemptions were removed from your cart","Tất cả các yêu cầu đổi Wannabe Xu đã được loại bỏ khỏi giỏ hàng của bạn"
"An error occured while trying to remove the redemption from your cart.","An error occured while trying to remove the redemption from your cart."
"Please log in or sign up to apply point redemptions!","Xin vui lòng đăng nhập hoặc đăng ký để sử dụng Wannabe Xu để được giảm giá!"
"An item was not selected or the item selected was invalid","An item was not selected or the item selected was invalid"
"A valid redemption id to apply to this product was not selected.","A valid redemption id to apply to this product was not selected."
"All requested reward redemptions were applied to the product.","All requested reward redemptions were applied to the product."
"All requested reward redemptions were removed from the product.","Tất cả các luật đổi Wannabe Xu đã được gở bỏ cho sản phẩm này."
"Sorry, you are not authorized to be access this section.","Sorry, you are not authorized to be access this section."
"There is no customer with that email address (%s).","There is no customer with that email address (%s)."
"%s is not allowed to use the %s points currency.","%s is not allowed to use the %s points currency."
"You must log in or sign up before sending points to a friend!","You must log in or sign up before sending points to a friend!"
"You cannot send %s points to %s when you only have %s!","You cannot send %s points to %s when you only have %s!"
"You have successfully sent %s to %s!","You have successfully sent %s to %s!"
"Currency does not exist","Currency does not exist"
"Can not create currencies. Available in future upgrades of Sweet Tooth.","Can not create currencies. Available in future upgrades of Sweet Tooth."
"currency was successfully saved","currency was successfully saved"
"Can not delete currency. Available in future upgrades of Sweet Tooth.","Can not delete currency. Available in future upgrades of Sweet Tooth."
"Can not execute a mass delete","Can not execute a mass delete"
"Please select transfer(s)","Please select transfer(s)"
"Transfer does not exist","Transfer does not exist"
"Transfer was successfully saved","Transfer was successfully saved"
"Edit User ","Edit User "
"Rating isn","Rating isn"
"All Point Transfers","All Point Transfers"
"You will be redirected to Amazon Checkout website when you place an order.","You will be redirected to Amazon Checkout website when you place an order."
"Checkout by Amazon","Checkout by Amazon"
"Search results for ","Search results for "
"Before Points","Before Points"
You,You
"You will be redirected to Google Checkout website when you place an order.","You will be redirected to Google Checkout website when you place an order."
"Fast checkout through Google","Fast checkout through Google"
"Paypal UK Checkout","Paypal UK Checkout"
"My Points and Rewards","Quản lý Wannabe Xu của tôi"
"Tags Aren","Tags Aren"
"Use spaces to separate tags. Use single quotes (","Use spaces to separate tags. Use single quotes ("
"Search Results for ","Search Results for "
"Products tagged with ","Products tagged with "
"Edit Category  ","Edit Category  "
"Edit Comment By ","Edit Comment By "
"Eamil Address","Eamil Address"
"Save Currency","Save Currency"
"Delete Transfer","Delete Transfer"
"Edit Currency #%s","Edit Currency #%s"
"Create New Currency","Create New Currency"
"Is Active","Is Active"
"Catalog Points Rules","Catalog Points Rules"
"Shopping Cart Points Rules","Shopping Cart Points Rules"
"Edit Rule ","Edit Rule "
"Save Transfer","Save Transfer"
"Create A New Transfer","Create A New Transfer"
"Revoke Transfer","Revoke Transfer"
"Edit Transfer #%s","Edit Transfer #%s"
"Created Time","Created Time"
"Customer ID","Customer ID"
Reason,Reason
Comments/Notes,Comments/Notes
"You are trying to redeem more points than you have in","Bạn cố gắng đổi Wannabe Xu nhưng bạn chỉ có"
"You are trying to redeem points but you","Bạn đã cố gắng đổi Wannabe Xu nhưng bạn"
"<i>No points</i>.","<i>No points</i>."
"Please enter a number more than zero (0).","Please enter a number more than zero (0)."
"Could not approve points.","Could not approve points."
"Failed to transfer points to customer %s","Failed to transfer points to customer %s"
"Successfully transfered %s to %s customer(s).","Successfully transfered %s to %s customer(s)."
"Woops, ran into error while trying to process your request: ","Woops, ran into error while trying to process your request: "
"Catalog Point Rule","Catalog Point Rule"
"You must still APPLY rules before they will take effect!","You must still APPLY rules before they will take effect!"
"The rule you are trying to delete no longer exists","The rule you are trying to delete no longer exists"
"Please use in this field only ","Please use in this field only "
"Currency Image Preview","Xem trước ảnh tiền tệ"
"Customer Point Balances","Wannabe Xu của Khách hàng"
"Customer Point Distributions","Khách hàng được tặng Wannabe Xu"
"Customer Point Redemptions","Khách hàng được mua lại Wannabe Xu"
"Your billing address will be ignored and you will be redirected to Amazon Simple Pay website.","Your billing address will be ignored and you will be redirected to Amazon Simple Pay website."
"You will be redirected to Amazon Simple Pay in a few seconds.","You will be redirected to Amazon Simple Pay in a few seconds."
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","Your billing address will be ignored and you will be redirected to Checkout by Amazon website."
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
Don,Don
"Keep me logged in","Giữ cho tôi đăng nhập"
"Use Your Rewards Points!","Sử dụng Wannabe Xu của bạn!"
"Your redemptions:","Your redemptions:"
"You have applied no redemptions to this cart.","You have applied no redemptions to this cart."
"More ways to redeem:","More ways to redeem:"
